127.0.0.1 - - [13/Apr/2017:02:03:24 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:03:26 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 8641
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:06:17 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39100
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:06:18 -0600] "GET /fesdweb/logo/norditax.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:06:18 -0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:07:07 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39112
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:09:56 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39235
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:11:09 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39254
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:11:54 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39273
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:12:24 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39255
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:13:47 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39282
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:14:17 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39275
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:14:34 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39275
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:14:38 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39275
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:15:59 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39275
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:16:31 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 9909
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:17:04 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39124
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:17:46 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39120
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:18:39 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39140
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:21:01 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39140
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:21:02 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 9909
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:21:05 -0600] "GET /fesdweb/Help.jsp HTTP/1.1" 200 8501
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:21:58 -0600] "GET /fesdweb/Help.jsp HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:22:00 -0600] "GET /fesdweb/resources/generatedFile.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:26:28 -0600] "GET /fesdweb/Help.jsp HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:26:30 -0600] "GET /fesdweb/Generated%20Compounds HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:26:35 -0600] "GET /fesdweb/leftSidebar.jsp HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:26:39 -0600] "GET /fesdweb/Generated%20Compounds HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:26:42 -0600] "GET /fesdweb/Generated%20Compounds HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:27:00 -0600] "GET /fesdweb/Generated%20Compounds HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:27:01 -0600] "GET /fesdweb/Generated%20Compounds HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:27:04 -0600] "GET /fesdweb/leftSidebar.jsp HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:27:07 -0600] "GET /fesdweb/Generated%20Compounds HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:27:10 -0600] "GET /fesdweb/Help.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:27:11 -0600] "GET /fesdweb/GeneratedCompounds.jsp HTTP/1.1" 200 22532
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:04 -0600] "GET /fesdweb/GeneratedCompounds.jsp HTTP/1.1" 200 25113
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:25 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:25 -0600] "GET /fesdweb/image/jw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:27 -0600] "GET /fesdweb/GeneratedCompounds.jsp HTTP/1.1" 200 25113
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:28 -0600] "GET /fesdweb/DataViewer.jsp HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:29 -0600] "GET /fesdweb/DataViewerServlet HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:31 -0600] "GET /fesdweb/Help.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:28:32 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 10071
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:29:53 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 10149
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:30:01 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39271
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:37:32 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39294
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:37:34 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39294
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:37:43 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39294
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:38:22 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39299
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:38:36 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39299
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:40:28 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39298
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:41:31 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39302
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:42:25 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39315
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:42:28 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39315
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:42:48 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39315
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:43:31 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39317
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:44:15 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39325
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:44:58 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39262
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:45:24 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39273
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:46:04 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39292
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:47:29 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39412
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:49:28 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39462
0:0:0:0:0:0:0:1 - - [13/Apr/2017:02:49:52 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39329
